timestamp,serverPort,relayDelay
2025-02-14T00:35:53.296Z,3001,7
2025-02-14T00:35:53.306Z,3001,3
2025-02-14T00:35:53.314Z,3000,3
2025-02-14T00:35:53.325Z,3001,4
2025-02-14T00:35:53.328Z,3000,3
2025-02-14T00:35:53.340Z,3001,2
2025-02-14T00:35:53.349Z,3001,3
2025-02-14T00:35:53.357Z,3000,4
2025-02-14T00:35:53.365Z,3001,3
2025-02-14T00:35:53.380Z,3001,3
2025-02-14T00:35:53.381Z,3000,4
2025-02-14T00:35:53.383Z,3001,3
2025-02-14T00:35:53.407Z,3001,2
2025-02-14T00:35:53.426Z,3001,3
2025-02-14T00:35:53.432Z,3000,2
2025-02-14T00:35:53.437Z,3001,4
2025-02-14T00:35:53.449Z,3001,3
2025-02-14T00:35:53.472Z,3001,3
2025-02-14T00:35:53.477Z,3001,2
2025-02-14T00:35:53.483Z,3001,3
2025-02-14T00:35:53.496Z,3000,4
2025-02-14T00:35:53.503Z,3001,3
2025-02-14T00:35:53.511Z,3001,2
2025-02-14T00:35:53.513Z,3000,4
2025-02-14T00:35:53.524Z,3001,10
2025-02-14T00:35:53.525Z,3001,2
2025-02-14T00:35:53.527Z,3001,3
2025-02-14T00:35:53.529Z,3000,2
2025-02-14T00:35:53.531Z,3001,5
2025-02-14T00:35:53.536Z,3000,4
2025-02-14T00:35:53.537Z,3009,2
2025-02-14T00:35:53.539Z,3009,2
2025-02-14T00:35:53.540Z,3000,4
2025-02-14T00:35:53.542Z,3000,3
2025-02-14T00:35:53.543Z,3009,2
2025-02-14T00:35:53.546Z,3000,4
2025-02-14T00:35:53.549Z,3009,2
2025-02-14T00:35:53.552Z,3000,4
2025-02-14T00:35:53.577Z,3000,4
2025-02-14T00:35:53.595Z,3000,2
2025-02-14T00:35:53.607Z,3000,3
2025-02-14T00:35:53.614Z,3000,3
2025-02-14T00:35:53.626Z,3000,4
2025-02-14T00:35:53.631Z,3000,4
2025-02-14T00:35:53.641Z,3000,5
2025-02-14T00:35:53.650Z,3000,2
2025-02-14T00:35:53.661Z,3000,3
2025-02-14T00:35:53.669Z,3009,2
2025-02-14T00:35:53.673Z,3000,4
2025-02-14T00:35:53.683Z,3009,1
2025-02-14T00:35:53.688Z,3000,4
2025-02-14T00:35:53.698Z,3000,2
2025-02-14T00:35:53.701Z,3009,1
2025-02-14T00:35:53.703Z,3000,2
2025-02-14T00:35:53.724Z,3009,1
2025-02-14T00:35:53.727Z,3009,2
2025-02-14T00:35:53.736Z,3009,2
2025-02-14T00:35:53.747Z,3009,1
2025-02-14T00:35:53.751Z,3009,1
2025-02-14T00:35:53.759Z,3009,3
